name,position,wins,games,total_games,winRate,pickRate,championId,championName,versionIndex,version,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,hp_18,mp_18,armor_18,spellblock_18,hpregen_18,mpregen_18,crit_18,attackdamage_18,attackspeed_18
사이온,T,173,339,26224,0.510324484,0.01292709,14,Sion,11.23,11.23.409.111,545,73,330,42,345,32,3,32,1.25,175,7.5,0.8,8,0.6,0,0,68,4,1.3,0.679,1786,1044,83,53.25,21.1,18.2,0,136,0.8291
럼블,T,108,212,26224,0.509433962,0.008084198,68,Rumble,11.23,11.23.409.111,589,85,100,0,345,31,3.5,28,0.75,125,8,0.6,0,0,0,0,61,3.2,1.85,0.644,2034,100,90.5,40.75,18.2,0,0,115.4,0.8465
피오라,T,544,1075,26224,0.506046512,0.040992984,114,Fiora,11.23,11.23.409.111,550,85,300,60,345,33,3.5,32,1.25,150,8.5,0.55,8,0.7,0,0,68,3.3,3.2,0.69,1995,1320,92.5,53.25,17.85,19.9,0,124.1,1.0654
워윅,T,62,123,26224,0.504065041,0.00469036,19,Warwick,11.23,11.23.409.111,550,85,280,35,335,33,3.2,32,1.25,125,4,0.75,7.47,0.58,0,0,65,3,2.3,0.638,1995,875,87.4,53.25,16.75,17.33,0,116,0.8875
케일,T,83,165,26224,0.503030303,0.006291946,10,Kayle,11.23,11.23.409.111,600,85,330,50,335,26,3,26,0.5,175,5,0.5,8,0.8,0,0,50,2.5,1.5,0.625,2045,1180,77,34.5,13.5,21.6,0,92.5,0.7844
말파이트,T,282,561,26224,0.502673797,0.021392617,54,Malphite,11.23,11.23.409.111,574,90,280,60,335,37,3.75,28,1.25,125,7,0.55,7.32,0.55,0,0,62,4,3.4,0.736,2104,1300,100.75,49.25,16.35,16.67,0,130,1.1614
베인,T,242,483,26224,0.501035197,0.018418243,67,Vayne,11.23,11.23.409.111,515,89,231.8,35,330,23,3.4,30,0.5,550,3.5,0.55,6.97,0.4,0,0,60,2.36,3.3,0.658,2028,826.8,80.8,38.5,12.85,13.77,0,100.12,1.0271
그웬,T,269,542,26224,0.496309963,0.02066809,887,Gwen,11.23,11.23.409.111,550,90,330,40,340,39,4,32,1.25,150,8.5,0.55,7.5,0.7,0,0,63,3,2.25,0.69,2080,1010,107,53.25,17.85,19.4,0,114,0.9539
렝가,T,121,244,26224,0.495901639,0.009304454,107,Rengar,11.23,11.23.409.111,585,90,4,0,345,34,3,32,1.25,125,7,0.5,0,0,0,0,68,3,3,0.667,2115,4,85,53.25,15.5,0,0,119,1.0072
오른,T,243,492,26224,0.493902439,0.01876144,516,Ornn,11.23,11.23.409.111,590,95,340.6,65,335,33,4,32,1.25,175,9,0.9,8.01,0.6,0,0,69,3.5,2,0.625,2205,1445.6,101,53.25,24.3,18.21,0,128.5,0.8375
레넥톤,T,460,934,26224,0.492505353,0.035616229,58,Renekton,11.23,11.23.409.111,590,92,100,0,345,35,4,32,1.25,125,8,0.75,0,0,0,0,69,3.75,2.75,0.665,2154,100,103,53.25,20.75,0,0,132.75,0.9759
퀸,T,61,124,26224,0.491935484,0.004728493,133,Quinn,11.23,11.23.409.111,533,85,269,35,335,28,3.5,30,0.5,525,5.5,0.55,6.97,0.4,0,0,59,2.4,3.1,0.668,1978,864,87.5,38.5,14.85,13.77,0,99.8,1.02
그라가스,T,112,228,26224,0.49122807,0.008694326,79,Gragas,11.23,11.23.409.111,600,95,400,47,330,38,3.6,32,1.25,125,5.5,0.5,6,0.8,0,0,64,3.5,2.05,0.675,2215,1199,99.2,53.25,14,19.6,0,123.5,0.9102
우르곳,T,92,188,26224,0.489361702,0.007169005,6,Urgot,11.23,11.23.409.111,585,88,340,45,330,36,4.25,32,1.25,350,7.5,0.7,7.25,0.8,0,0,63,4,3.75,0.625,2081,1105,108.25,53.25,19.4,20.85,0,131,1.0234
요네,T,322,663,26224,0.485671192,0.025282184,777,Yone,11.23,11.23.409.111,550,85,500,0,345,28,3.4,32,1.25,175,7.5,0.75,0,0,0,0,60,2,3.5,0.625,1995,500,85.8,53.25,20.25,0,0,94,0.9969
제이스,T,1134,2335,26224,0.485653105,0.089040574,126,Jayce,11.23,11.23.409.111,560,90,375,45,335,27,3.5,30,0.5,125,6,0.6,6,0.8,0,0,54,4.25,3,0.658,2090,1140,86.5,38.5,16.2,19.6,0,126.25,0.9936
아트록스,T,421,870,26224,0.483908046,0.033175717,266,Aatrox,11.23,11.23.409.111,580,90,0,0,345,38,3.25,32,1.25,175,3,1,0,0,0,0,60,5,2.5,0.651,2110,0,93.25,53.25,20,0,0,145,0.9277
올라프,T,28,58,26224,0.482758621,0.002211714,2,Olaf,11.23,11.23.409.111,575,100,316,42,350,35,3,32,1.25,125,8.5,0.9,7.5,0.6,0,0,68,3.5,2.7,0.694,2275,1030,86,53.25,23.8,17.7,0,127.5,1.0125
티모,T,224,465,26224,0.48172043,0.017731849,17,Teemo,11.23,11.23.409.111,528,90,334,20,330,24,3.75,30,0.5,500,5.5,0.65,9.6,0.45,0,0,54,3,3.38,0.69,2058,674,87.75,38.5,16.55,17.25,0,105,1.0865
볼리베어,T,81,169,26224,0.479289941,0.006444478,106,Volibear,11.23,11.23.409.111,580,90,350,70,340,31,4,32,1.25,150,9,0.75,6.25,0.5,0,0,60,3,2,0.625,2110,1540,99,53.25,21.75,14.75,0,111,0.8375
라이즈,T,159,334,26224,0.476047904,0.012736425,13,Ryze,11.23,11.23.409.111,575,110,300,70,340,22,3,36,0.5,550,8,0.8,8,1,0,0,58,3,2.112,0.625,2445,1490,73,44.5,21.6,25,0,109,0.8494
리븐,T,192,404,26224,0.475247525,0.015405735,92,Riven,11.23,11.23.409.111,560,86,0,0,340,33,3.2,32,1.25,125,8.5,0.5,0,0,0,0,64,3,3.5,0.625,2022,0,87.4,53.25,17,0,0,115,0.9969
하이머딩거,T,65,137,26224,0.474452555,0.005224222,74,Heimerdinger,11.23,11.23.409.111,488,87,385,20,340,19,3,30,0.5,550,7,0.55,8,0.8,0,0,56,2.7,1.36,0.625,1967,725,70,38.5,16.35,21.6,0,101.9,0.7695
카사딘,T,41,87,26224,0.471264368,0.003317572,38,Kassadin,11.23,11.23.409.111,576,105,400,87,335,19,2.8,30,0.5,150,6,0.5,6,0.8,0,0,59,3.9,3.7,0.64,2361,1879,66.6,38.5,14.5,19.6,0,125.3,1.0426
세트,T,335,714,26224,0.469187675,0.027226968,875,Sett,11.23,11.23.409.111,600,93,0,0,340,33,4,32,1.25,125,7,0.5,0,0,0,0,60,4,1.75,0.625,2181,0,101,53.25,15.5,0,0,128,0.8109
나서스,T,83,177,26224,0.468926554,0.006749542,75,Nasus,11.23,11.23.409.111,561,90,326,62,350,34,3.5,32,1.25,125,9,0.9,7.44,0.5,0,0,67,3.5,3.48,0.638,2091,1380,93.5,53.25,24.3,15.94,0,126.5,1.0154
모데카이저,T,161,344,26224,0.468023256,0.013117755,82,Mordekaiser,11.23,11.23.409.111,575,90,100,0,335,37,3,32,1.25,175,5,0.75,0,0,0,0,61,4,1,0.625,2105,100,88,53.25,17.75,0,0,129,0.7312
아칼리,T,270,580,26224,0.465517241,0.022117145,84,Akali,11.23,11.23.409.111,500,105,200,0,345,23,3.5,37,1.25,125,9,0.9,50,0,0,0,62,3.3,3.2,0.625,2285,200,82.5,58.25,24.3,50,0,118.1,0.965
일라오이,T,32,69,26224,0.463768116,0.002631178,420,Illaoi,11.23,11.23.409.111,586,95,300,50,350,35,3.8,32,1.25,125,9.5,0.8,7.5,0.75,0,0,68,5,2.5,0.571,2201,1150,99.6,53.25,23.1,20.25,0,153,0.8137
릴리아,T,37,80,26224,0.4625,0.003050641,876,Lillia,11.23,11.23.409.111,580,90,410,50,330,22,4,32,0.75,325,2.5,0.55,11.5,0.95,0,0,61,3.1,2.7,0.625,2110,1260,90,44.75,11.85,27.65,0,113.7,0.9119
이렐리아,T,482,1047,26224,0.460362942,0.039925259,39,Irelia,11.23,11.23.409.111,520,110,350,50,335,36,3,28,1.25,200,8.5,0.85,8,0.8,0,0,65,4,2.5,0.656,2390,1200,87,49.25,22.95,21.6,0,133,0.9348
가렌,T,118,257,26224,0.459143969,0.009800183,86,Garen,11.23,11.23.409.111,620,84,0,0,340,36,3,32,0.75,175,8,0.5,0,0,0,0,66,4.5,3.65,0.625,2048,0,87,44.75,16.5,0,0,142.5,1.0128
비에고,T,39,85,26224,0.458823529,0.003241306,234,Viego,11.23,11.23.409.111,560,95,10000,0,345,34,4,32,1.25,200,7,0.7,0,0,0,0,57,3.5,2.5,0.658,2175,10000,102,53.25,18.9,0,0,116.5,0.9377
나르,T,161,356,26224,0.452247191,0.013575351,150,Gnar,11.23,11.23.409.111,510,65,100,0,335,32,2.5,30,0.5,175,4.5,1.75,0,0,0,0,57,3,6,0.625,1615,100,74.5,38.5,34.25,0,0,108,1.2625
세주아니,T,31,70,26224,0.442857143,0.002669311,113,Sejuani,11.23,11.23.409.111,560,100,400,40,340,34,4.25,32,1.25,150,8.5,1,7,0.7,0,0,66,4,3.5,0.688,2260,1080,106.25,53.25,25.5,18.9,0,134,1.0974
클레드,T,85,197,26224,0.431472081,0.007512203,240,Kled,11.23,11.23.409.111,340,70,100,0,345,35,4,28,1.25,125,6,0.75,0,0,0,0,65,3.5,3.5,0.625,1530,100,103,49.25,18.75,0,0,124.5,0.9969
루시안,T,79,188,26224,0.420212766,0.007169005,236,Lucian,11.23,11.23.409.111,571,86,348.88,38,335,28,3,30,0.5,500,3.75,0.65,8.18,0.7,0,0,62,2.3,3.3,0.638,2033,994.88,79,38.5,14.8,20.08,0,101.1,0.9959
바이,T,20,56,26224,0.357142857,0.002135448,254,Vi,11.23,11.23.409.111,585,85,295,65,340,30,3.5,32,1.25,125,10,1,8,0.65,0,0,63,3,2,0.644,2030,1400,89.5,53.25,27,19.05,0,114,0.863
그라가스,S,121,209,26941,0.578947368,0.007757693,79,Gragas,11.23,11.23.409.111,600,95,400,47,330,38,3.6,32,1.25,125,5.5,0.5,6,0.8,0,0,64,3.5,2.05,0.675,2215,1199,99.2,53.25,14,19.6,0,123.5,0.9102
조이,S,32,57,26941,0.561403509,0.002115734,142,Zoe,11.23,11.23.409.111,560,92,425,25,340,21,3.5,30,0.5,550,6.5,0.6,8,0.65,0,0,58,3.3,2.5,0.625,2124,850,80.5,38.5,16.7,19.05,0,114.1,0.8906
렐,S,238,431,26941,0.552204176,0.015997921,526,Rell,11.23,11.23.409.111,540,90,350,45,335,32,3,32.1,1.25,175,7,0.55,6,0.35,0,0,55,3,2,0.55,2070,1115,83,53.35,16.35,11.95,0,106,0.737
브라움,S,192,355,26941,0.54084507,0.013176942,201,Braum,11.23,11.23.409.111,540,98,311,45,335,47,4,32,1.25,125,8.5,1,6,0.8,0,0,55,3.2,3.5,0.644,2206,1076,115,53.25,25.5,19.6,0,109.4,1.0272
마오카이,S,490,927,26941,0.528586839,0.034408522,57,Maokai,11.23,11.23.409.111,565,95,375,43,335,39,4,32,1.25,125,5,0.75,7.2,0.6,0,0,64,3.3,2.125,0.8,2180,1106,107,53.25,17.75,17.4,0,120.1,1.089
라칸,S,546,1038,26941,0.526011561,0.038528637,497,Rakan,11.23,11.23.409.111,540,85,315,50,335,32,3.9,32,1.25,300,5,0.5,8.75,0.5,0,0,62,3.5,3,0.635,1985,1165,98.3,53.25,13.5,17.25,0,121.5,0.9588
사일러스,S,31,59,26941,0.525423729,0.002189971,517,Sylas,11.23,11.23.409.111,525,115,310,70,340,27,4,32,1.75,175,9,0.9,8,0.8,0,0,61,3,3.5,0.645,2480,1500,95,61.75,24.3,21.6,0,112,1.0288
쉔,S,53,101,26941,0.524752475,0.003748933,98,Shen,11.23,11.23.409.111,540,85,400,0,340,34,3,32,1.25,125,8.5,0.75,50,0,0,0,60,3,3,0.751,1985,400,85,53.25,21.25,50,0,111,1.134
질리언,S,262,501,26941,0.522954092,0.018596192,26,Zilean,11.23,11.23.409.111,504,82,452,50,335,24,3.8,30,0.5,550,5.5,0.5,11.34,0.8,0,0,52,3,2.13,0.625,1898,1302,88.6,38.5,14,24.94,0,103,0.8513
베이가,S,59,113,26941,0.522123894,0.004194351,45,Veigar,11.23,11.23.409.111,505,94,490,26,340,23,3.75,32,0.5,550,6.5,0.6,8,0.8,0,0,52,2.7,2.24,0.625,2103,932,86.75,40.5,16.7,21.6,0,97.9,0.863
탈리야,S,43,83,26941,0.518072289,0.003080806,163,Taliyah,11.23,11.23.409.111,532,90,425,30,335,20,3.5,30,0.5,525,7,0.7,9.34,0.85,0,0,58,3.3,1.36,0.625,2062,935,79.5,38.5,18.9,23.79,0,114.1,0.7695
블리츠크랭크,S,947,1831,26941,0.517203714,0.067963327,53,Blitzcrank,11.23,11.23.409.111,583,95,267,40,325,40,3.5,32,1.25,125,8.5,0.75,8.5,0.8,0,0,62,3.5,1.13,0.625,2198,947,99.5,53.25,21.25,22.1,0,121.5,0.7451
애니비아,S,46,89,26941,0.516853933,0.003303515,34,Anivia,11.23,11.23.409.111,480,82,495,45,325,21,4,30,0.5,600,5.5,0.55,8,0.8,0,0,51,3.2,1.68,0.625,1874,1260,89,38.5,14.85,21.6,0,105.4,0.8035
자이라,S,136,264,26941,0.515151515,0.009799191,143,Zyra,11.23,11.23.409.111,504,79,418,25,340,29,3,30,0.5,575,5.5,0.5,13,0.4,0,0,53,3.2,2.11,0.625,1847,843,80,38.5,14,19.8,0,107.4,0.8492
세트,S,76,148,26941,0.513513514,0.005493486,875,Sett,11.23,11.23.409.111,600,93,0,0,340,33,4,32,1.25,125,7,0.5,0,0,0,0,60,4,1.75,0.625,2181,0,101,53.25,15.5,0,0,128,0.8109
벨코즈,S,99,193,26941,0.512953368,0.007163802,161,Velkoz,11.23,11.23.409.111,520,88,469,21,340,22,3.5,30,0.5,525,5.5,0.55,8,0.8,0,0,55,3.1416,1.36,0.625,2016,826,81.5,38.5,14.85,21.6,0,108.4072,0.7695
럭스,S,671,1317,26941,0.509491268,0.0488846,99,Lux,11.23,11.23.409.111,490,85,480,23.5,330,19,4,30,0.5,550,5.5,0.55,8,0.8,0,0,54,3.3,2,0.669,1935,879.5,87,38.5,14.85,21.6,0,110.1,0.8965
타릭,S,95,187,26941,0.50802139,0.006941094,44,Taric,11.23,11.23.409.111,575,85,300,60,340,40,3.4,32,1.25,150,6,0.5,8.5,0.8,0,0,55,3.5,2,0.625,2020,1320,97.8,53.25,14.5,22.1,0,114.5,0.8375
샤코,S,142,280,26941,0.507142857,0.010393081,35,Shaco,11.23,11.23.409.111,560,89,297,40,345,30,3.5,32,1.25,125,8.5,0.55,7.16,0.45,0,0,63,3,3,0.694,2073,977,89.5,53.25,17.85,14.81,0,114,1.0479
룰루,S,993,1959,26941,0.506891271,0.07271445,117,Lulu,11.23,11.23.409.111,525,74,350,55,330,29,3.7,30,0.5,550,6,0.6,11,0.6,0,0,47,2.6,2.25,0.625,1783,1285,91.9,38.5,16.2,21.2,0,91.2,0.8641
노틸러스,S,391,772,26941,0.506476684,0.02865521,111,Nautilus,11.23,11.23.409.111,576,86,400,47,325,39,3.75,32,1.25,175,8.5,0.55,8.63,0.5,0,0,61,3.3,1,0.706,2038,1199,102.75,53.25,17.85,17.13,0,117.1,0.826
모르가나,S,349,691,26941,0.505065123,0.02564864,25,Morgana,11.23,11.23.409.111,560,90,340,60,335,25,3.8,30,0.5,450,5.5,0.4,11,0.4,0,0,56,3.5,1.53,0.625,2090,1360,89.6,38.5,12.3,17.8,0,115.5,0.7876
레오나,S,795,1584,26941,0.501893939,0.058795145,89,Leona,11.23,11.23.409.111,576,87,302,40,335,47,3.6,32,1.25,125,8.5,0.85,6,0.8,0,0,60,3,2.9,0.625,2055,982,108.2,53.25,22.95,19.6,0,111,0.9331
잔나,S,160,319,26941,0.501567398,0.011840689,40,Janna,11.23,11.23.409.111,500,70,350,64,315,28,3.8,30,0.5,550,5.5,0.55,11.5,0.4,0,0,46,1.5,2.95,0.625,1690,1438,92.6,38.5,14.85,18.3,0,71.5,0.9384
피들스틱,S,33,66,26941,0.5,0.002449798,9,Fiddlesticks,11.23,11.23.409.111,580.4,92,500,28,335,34,3.5,30,0.5,480,5.5,0.6,8,0.8,0,0,55.36,2.63,2.11,0.625,2144.4,976,93.5,38.5,15.7,21.6,0,100.07,0.8492
카르마,S,440,887,26941,0.496054115,0.032923796,43,Karma,11.23,11.23.409.111,534,95,374,50,335,28,3.8,30,0.5,525,5.5,0.55,13,0.5,0,0,51,3.3,2.3,0.625,2149,1224,92.6,38.5,14.85,21.5,0,107.1,0.8694
하이머딩거,S,54,109,26941,0.495412844,0.004045878,74,Heimerdinger,11.23,11.23.409.111,488,87,385,20,340,19,3,30,0.5,550,7,0.55,8,0.8,0,0,56,2.7,1.36,0.625,1967,725,70,38.5,16.35,21.6,0,101.9,0.7695
쓰레쉬,S,1210,2445,26941,0.494887526,0.09075387,412,Thresh,11.23,11.23.409.111,530,95,274,44,330,28,0,30,0.5,450,7,0.55,6,0.8,0,0,56,2.2,3.5,0.625,2145,1022,28,38.5,16.35,19.6,0,93.4,0.9969
세나,S,246,499,26941,0.492985972,0.018521955,235,Senna,11.23,11.23.409.111,520,75,350,45,330,28,3.5,30,0.5,600,3.5,0.55,11.5,0.4,0,0,50,0,4,0.625,1795,1115,87.5,38.5,12.85,18.3,0,50,1.05
판테온,S,122,248,26941,0.491935484,0.0092053,80,Pantheon,11.23,11.23.409.111,580,95,317.12,31,345,40,3.75,28,1.25,175,9,0.65,7.36,0.45,0,0,64,3.3,2.95,0.644,2195,844.12,103.75,49.25,20.05,15.01,0,120.1,0.967
제라스,S,525,1072,26941,0.489738806,0.039790654,101,Xerath,11.23,11.23.409.111,526,92,459,22,340,22,3.5,30,0.5,525,5.5,0.55,8,0.8,0,0,55,3,1.36,0.625,2090,833,81.5,38.5,14.85,21.6,0,106,0.7695
자크,S,61,125,26941,0.488,0.004639768,154,Zac,11.23,11.23.409.111,615,95,0,0,340,33,3.5,32,1.25,175,8,0.5,0,0,0,0,60,3.4,1.6,0.736,2230,0,92.5,53.25,16.5,0,0,117.8,0.9362
알리스타,S,337,696,26941,0.484195402,0.02583423,12,Alistar,11.23,11.23.409.111,600,106,350,40,330,44,3.5,32,1.25,125,8.5,0.85,8.5,0.8,0,0,62,3.75,2.125,0.625,2402,1030,103.5,53.25,22.95,22.1,0,125.75,0.8508
파이크,S,664,1374,26941,0.483260553,0.051000334,555,Pyke,11.23,11.23.409.111,600,90,415,50,330,45,3.5,32,1.25,150,7,0.5,8,1,0,0,62,2,2.5,0.667,2130,1265,104.5,53.25,15.5,25,0,96,0.9505
벡스,S,76,158,26941,0.481012658,0.005864667,711,Vex,11.23,11.23.409.111,520,90,490,32,335,23,3.25,28,0.5,550,6.5,0.6,6,0.8,0,0,54,2.75,1,0.669,2050,1034,78.25,36.5,16.7,19.6,0,100.75,0.7827
나미,S,337,703,26941,0.479374111,0.026094057,267,Nami,11.23,11.23.409.111,490,74,365,43,335,29,4,30,0.5,550,5.5,0.55,11.5,0.4,0,0,51,3.1,2.61,0.644,1748,1096,97,38.5,14.85,18.3,0,103.7,0.9297
바드,S,123,258,26941,0.476744186,0.009576482,432,Bard,11.23,11.23.409.111,560,89,350,50,330,34,4,30,0.5,500,5.5,0.55,6,0.45,0,0,52,3,2,0.625,2073,1200,102,38.5,14.85,13.65,0,103,0.8375
소나,S,86,181,26941,0.475138122,0.006718385,37,Sona,11.23,11.23.409.111,480,77,340,45,325,26,3.3,30,0.5,550,5.5,0.55,11.5,0.4,0,0,49,3,2.3,0.644,1789,1105,82.1,38.5,14.85,18.3,0,100,0.8958
브랜드,S,94,198,26941,0.474747475,0.007349393,63,Brand,11.23,11.23.409.111,520,88,469,21,340,22,3.5,30,0.5,550,5.5,0.55,10.67,0.6,0,0,57,3,1.36,0.625,2016,826,81.5,38.5,14.85,20.87,0,108,0.7695
