name,position,wins,games,total_games,winRate,pickRate,championId,championName,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,hp_18,mp_18,armor_18,spellblock_18,hpregen_18,mpregen_18,crit_18,attackdamage_18,attackspeed_18
카서스,T,126,233,352458,0.540772532,0.000661072,30,Karthus,550,87,467,30.5,335,18,3.5,30,0.5,450,6.5,0.55,8,0.8,0,0,46,3.25,2.11,0.625,2029,985.5,77.5,38.5,15.85,21.6,0,101.25,0.8492
케일,T,1422,2635,352458,0.539658444,0.007476068,10,Kayle,600,85,330,50,335,26,3,26,0.5,175,5,0.5,8,0.8,0,0,50,2.5,1.5,0.625,2045,1180,77,34.5,13.5,21.6,0,92.5,0.7844
브랜드,T,165,306,352458,0.539215686,0.000868189,63,Brand,520,88,469,21,340,22,3.5,30,0.5,550,5.5,0.55,10.67,0.6,0,0,57,3,1.36,0.625,2016,826,81.5,38.5,14.85,20.87,0,108,0.7695
조이,T,49,91,352458,0.538461538,0.000258187,142,Zoe,560,92,425,25,340,21,3.5,30,0.5,550,6.5,0.6,8,0.65,0,0,58,3.3,2.5,0.625,2124,850,80.5,38.5,16.7,19.05,0,114.1,0.8906
코르키,T,80,149,352458,0.536912752,0.000422745,42,Corki,518,87,350,54,325,28,3.5,30,0.5,550,5.5,0.55,7.42,0.55,0,0,55,2.5,2.3,0.638,1997,1268,87.5,38.5,14.85,16.77,0,97.5,0.8875
티모,T,10591,19760,352458,0.535981781,0.056063417,17,Teemo,528,90,334,20,330,24,3.75,30,0.5,500,5.5,0.65,9.6,0.45,0,0,54,3,3.38,0.69,2058,674,87.75,38.5,16.55,17.25,0,105,1.0865
쉔,T,2077,3883,352458,0.534895699,0.011016915,98,Shen,540,85,400,0,340,34,3,32,1.25,125,8.5,0.75,50,0,0,0,60,3,3,0.751,1985,400,85,53.25,21.25,50,0,111,1.134
베인,T,7014,13142,352458,0.53370872,0.037286712,67,Vayne,515,89,231.8,35,330,23,3.4,30,0.5,550,3.5,0.55,6.97,0.4,0,0,60,2.36,3.3,0.658,2028,826.8,80.8,38.5,12.85,13.77,0,100.12,1.0271
워윅,T,1285,2408,352458,0.533637874,0.00683202,19,Warwick,550,85,280,35,335,33,3.2,32,1.25,125,4,0.75,7.47,0.58,0,0,65,3,2.3,0.638,1995,875,87.4,53.25,16.75,17.33,0,116,0.8875
요릭,T,1273,2391,352458,0.532413216,0.006783787,83,Yorick,580,100,300,60,340,39,4,32,1.25,175,8,0.8,7.5,0.75,0,0,62,5,2,0.625,2280,1320,107,53.25,21.6,20.25,0,147,0.8375
문도 박사,T,1659,3120,352458,0.531730769,0.008852119,36,DrMundo,583,89,0,0,345,32,3,32,1.25,125,8,0.75,0,0,0,0,61,4.2,3.3,0.72,2096,0,83,53.25,20.75,0,0,132.4,1.1239
세주아니,T,324,611,352458,0.530278232,0.00173354,113,Sejuani,560,100,400,40,340,34,4.25,32,1.25,150,8.5,1,7,0.7,0,0,66,4,3.5,0.688,2260,1080,106.25,53.25,25.5,18.9,0,134,1.0974
카직스,T,36,68,352458,0.529411765,0.000192931,121,Khazix,573,85,327,40,350,36,3,32,1.25,125,7.5,0.75,7.59,0.5,0,0,63,3.1,2.7,0.668,2018,1007,87,53.25,20.25,16.09,0,115.7,0.9746
빅토르,T,1285,2429,352458,0.52902429,0.006891601,112,Viktor,530,90,405,45,335,23,4,30,0.5,525,8,0.65,8,0.8,0,0,53,3,2.11,0.658,2060,1170,91,38.5,19.05,21.6,0,104,0.894
사이온,T,1089,2066,352458,0.527105518,0.005861691,14,Sion,545,73,330,42,345,32,3,32,1.25,175,7.5,0.8,8,0.6,0,0,68,4,1.3,0.679,1786,1044,83,53.25,21.1,18.2,0,136,0.8291
우디르,T,70,133,352458,0.526315789,0.00037735,77,Udyr,594,92,271,50,350,34,4,32,1.25,125,6,0.75,7.5,0.45,0,0,64,5,2.67,0.658,2158,1121,102,53.25,18.75,15.15,0,149,0.9567
오른,T,4612,8771,352458,0.525823737,0.024885235,516,Ornn,590,95,340.6,65,335,33,4,32,1.25,175,9,0.9,8.01,0.6,0,0,69,3.5,2,0.625,2205,1445.6,101,53.25,24.3,18.21,0,128.5,0.8375
피즈,T,108,206,352458,0.524271845,0.000584467,105,Fizz,570,98,317,37,335,22,3.4,32,1.25,175,8,0.7,6,0.8,0,0,58,3,3.1,0.658,2236,946,79.8,53.25,19.9,19.6,0,109,1.0048
녹턴,T,185,354,352458,0.52259887,0.001004375,56,Nocturne,585,85,275,35,345,38,3.5,32,0.75,125,7,0.75,7,0.45,0,0,62,3.1,2.7,0.721,2030,870,97.5,44.75,19.75,14.65,0,114.7,1.0519
가렌,T,5030,9626,352458,0.522543112,0.027311056,86,Garen,620,84,0,0,340,36,3,32,0.75,175,8,0.5,0,0,0,0,66,4.5,3.65,0.625,2048,0,87,44.75,16.5,0,0,142.5,1.0128
샤코,T,299,574,352458,0.520905923,0.001628563,35,Shaco,560,89,297,40,345,30,3.5,32,1.25,125,8.5,0.55,7.16,0.45,0,0,63,3,3,0.694,2073,977,89.5,53.25,17.85,14.81,0,114,1.0479
탐 켄치,T,3945,7576,352458,0.520723337,0.02149476,223,TahmKench,570,95,325,50,335,42,3.5,32,1.25,175,6.5,0.55,8,1,0,0,56,3.2,2.5,0.658,2185,1175,101.5,53.25,15.85,25,0,110.4,0.9377
아펠리오스,T,116,223,352458,0.520179372,0.000632699,523,Aphelios,530,88,348,42,325,28,3,30,0.5,550,3.25,0.55,6.5,0.4,0,0,55,3,2.1,0.64,2026,1062,79,38.5,12.6,13.3,0,106,0.8685
퀸,T,1281,2465,352458,0.519675456,0.006993741,133,Quinn,533,85,269,35,335,28,3.5,30,0.5,525,5.5,0.55,6.97,0.4,0,0,59,2.4,3.1,0.668,1978,864,87.5,38.5,14.85,13.77,0,99.8,1.02
니코,T,228,439,352458,0.519362187,0.001245538,518,Neeko,540,90,450,30,340,21,4,30,0.5,550,7.5,0.75,7,0.7,0,0,48,2.5,3.5,0.625,2070,960,89,38.5,20.25,18.9,0,90.5,0.9969
오공,T,1374,2647,352458,0.519078202,0.007510115,62,MonkeyKing,540,85,300,65,345,31,3.5,28,1.25,175,2.5,0.65,8,0.65,0,0,68,3.5,3,0.711,1985,1405,90.5,49.25,13.55,19.05,0,127.5,1.0736
말파이트,T,6591,12739,352458,0.51738755,0.036143314,54,Malphite,574,90,280,60,335,37,3.75,28,1.25,125,7,0.55,7.32,0.55,0,0,62,4,3.4,0.736,2104,1300,100.75,49.25,16.35,16.67,0,130,1.1614
그레이브즈,T,4012,7759,352458,0.517076943,0.02201397,104,Graves,555,92,325,40,340,33,3.4,32,1.25,425,8,0.7,8,0.7,0,0,68,4,2.6,0.475,2119,1005,90.8,53.25,19.9,19.9,0,136,0.6849
트린다미어,T,2058,3983,352458,0.516695958,0.011300637,23,Tryndamere,626,98,100,0,345,33,3.1,32,1.25,125,8.5,0.9,0,0,0,0,72,3.7,2.9,0.67,2292,100,85.7,53.25,23.8,0,0,134.9,1.0003
나르,T,1465,2839,352458,0.51602677,0.00805486,150,Gnar,510,65,100,0,335,32,2.5,30,0.5,175,4.5,1.75,0,0,0,0,57,3,6,0.625,1615,100,74.5,38.5,34.25,0,0,108,1.2625
블라디미르,T,1085,2107,352458,0.514950166,0.005978017,8,Vladimir,537,96,2,0,330,23,3.3,30,0.5,450,7,0.6,0,0,0,0,55,3,2,0.658,2169,2,79.1,38.5,17.2,0,0,106,0.8817
쉬바나,T,202,393,352458,0.513994911,0.001115026,102,Shyvana,595,95,100,0,350,38,3.35,32,1.25,125,8.5,0.8,0,0,0,0,66,3.4,2.5,0.658,2210,100,94.95,53.25,22.1,0,0,123.8,0.9377
제라스,T,118,230,352458,0.513043478,0.00065256,101,Xerath,526,92,459,22,340,22,3.5,30,0.5,525,5.5,0.55,8,0.8,0,0,55,3,1.36,0.625,2090,833,81.5,38.5,14.85,21.6,0,106,0.7695
릴리아,T,1047,2042,352458,0.512732615,0.005793598,876,Lillia,580,90,410,50,330,22,4,32,0.75,325,2.5,0.55,11.5,0.95,0,0,61,3.1,2.7,0.625,2110,1260,90,44.75,11.85,27.65,0,113.7,0.9119
자크,T,529,1038,352458,0.509633911,0.002945032,154,Zac,615,95,0,0,340,33,3.5,32,1.25,175,8,0.5,0,0,0,0,60,3.4,1.6,0.736,2230,0,92.5,53.25,16.5,0,0,117.8,0.9362
세트,T,7072,13896,352458,0.508923431,0.039425974,875,Sett,600,93,0,0,340,33,4,32,1.25,125,7,0.5,0,0,0,0,60,4,1.75,0.625,2181,0,101,53.25,15.5,0,0,128,0.8109
자이라,T,29,57,352458,0.50877193,0.000161721,143,Zyra,504,79,418,25,340,29,3,30,0.5,575,5.5,0.5,13,0.4,0,0,53,3.2,2.11,0.625,1847,843,80,38.5,14,19.8,0,107.4,0.8492
잭스,T,3571,7038,352458,0.507388463,0.019968337,24,Jax,593,85,339,52,350,36,3,32,1.25,125,8.5,0.55,7.58,0.7,0,0,68,4.25,3.4,0.638,2038,1223,87,53.25,17.85,19.48,0,140.25,1.0068
스웨인,T,182,359,352458,0.506963788,0.001018561,50,Swain,525,85,468,28.5,325,23,4,30,0.5,525,7,0.65,8,0.8,0,0,58,2.7,2.11,0.625,1970,952.5,91,38.5,18.05,21.6,0,103.9,0.8492
트위치,T,37,73,352458,0.506849315,0.000207117,29,Twitch,612,86,287.2,40,330,27,3,30,0.5,550,3.75,0.6,7.26,0.45,0,0,59,3.11,3.38,0.679,2074,967.2,78,38.5,13.95,14.91,0,111.87,1.0692
베이가,T,189,374,352458,0.505347594,0.001061119,45,Veigar,505,94,490,26,340,23,3.75,32,0.5,550,6.5,0.6,8,0.8,0,0,52,2.7,2.24,0.625,2103,932,86.75,40.5,16.7,21.6,0,97.9,0.863
트리스타나,T,186,369,352458,0.504065041,0.001046933,18,Tristana,559,88,250,32,325,26,3,30,0.5,525,3.75,0.65,7.2,0.45,0,0,59,3.3,1.5,0.656,2055,794,77,38.5,14.8,14.85,0,115.1,0.8233
이렐리아,T,6922,13735,352458,0.503967965,0.038969182,39,Irelia,520,110,350,50,335,36,3,28,1.25,200,8.5,0.85,8,0.8,0,0,65,4,2.5,0.656,2390,1200,87,49.25,22.95,21.6,0,133,0.9348
볼리베어,T,1872,3716,352458,0.503767492,0.0105431,106,Volibear,580,90,350,70,340,31,4,32,1.25,150,9,0.75,6.25,0.5,0,0,60,3,2,0.625,2110,1540,99,53.25,21.75,14.75,0,111,0.8375
초가스,T,1063,2113,352458,0.503076195,0.005995041,31,Chogath,574,80,270,60,345,38,3.5,32,1.25,125,9,0.85,7.2,0.45,0,0,69,4.2,1.44,0.625,1934,1290,97.5,53.25,23.45,14.85,0,140.4,0.778
하이머딩거,T,1169,2324,352458,0.503012048,0.006593693,74,Heimerdinger,488,87,385,20,340,19,3,30,0.5,550,7,0.55,8,0.8,0,0,56,2.7,1.36,0.625,1967,725,70,38.5,16.35,21.6,0,101.9,0.7695
세나,T,240,479,352458,0.501043841,0.001359027,235,Senna,520,75,350,45,330,28,3.5,30,0.5,600,3.5,0.55,11.5,0.4,0,0,50,0,4,0.625,1795,1115,87.5,38.5,12.85,18.3,0,50,1.05
일라오이,T,2206,4406,352458,0.50068089,0.01250078,420,Illaoi,586,95,300,50,350,35,3.8,32,1.25,125,9.5,0.8,7.5,0.75,0,0,68,5,2.5,0.571,2201,1150,99.6,53.25,23.1,20.25,0,153,0.8137
벡스,T,190,380,352458,0.5,0.001078143,711,Vex,520,90,490,32,335,23,3.25,28,0.5,550,6.5,0.6,6,0.8,0,0,54,2.75,1,0.669,2050,1034,78.25,36.5,16.7,19.6,0,100.75,0.7827
모르가나,T,139,278,352458,0.5,0.000788746,25,Morgana,560,90,340,60,335,25,3.8,30,0.5,450,5.5,0.4,11,0.4,0,0,56,3.5,1.53,0.625,2090,1360,89.6,38.5,12.3,17.8,0,115.5,0.7876
갈리오,T,64,128,352458,0.5,0.000363164,3,Galio,562,112,500,40,335,24,3.5,32,1.25,150,8,0.8,9.5,0.7,0,0,59,3.5,1.5,0.625,2466,1180,83.5,53.25,21.6,21.4,0,118.5,0.7844
우르곳,T,1320,2644,352458,0.49924357,0.007501603,6,Urgot,585,88,340,45,330,36,4.25,32,1.25,350,7.5,0.7,7.25,0.8,0,0,63,4,3.75,0.625,2081,1105,108.25,53.25,19.4,20.85,0,131,1.0234
케넨,T,3212,6444,352458,0.498448169,0.018283029,85,Kennen,541,84,200,0,335,29,3.75,30,0.5,550,5.5,0.65,50,0,0,0,48,3.75,3.4,0.625,1969,200,92.75,38.5,16.55,50,0,111.75,0.9862
피오라,T,5297,10642,352458,0.497744785,0.030193668,114,Fiora,550,85,300,60,345,33,3.5,32,1.25,150,8.5,0.55,8,0.7,0,0,68,3.3,3.2,0.69,1995,1320,92.5,53.25,17.85,19.9,0,124.1,1.0654
마오카이,T,853,1715,352458,0.497376093,0.004865828,57,Maokai,565,95,375,43,335,39,4,32,1.25,125,5,0.75,7.2,0.6,0,0,64,3.3,2.125,0.8,2180,1106,107,53.25,17.75,17.4,0,120.1,1.089
아크샨,T,330,664,352458,0.496987952,0.001883912,166,Akshan,560,90,350,40,330,26,3,30,0.5,500,3.75,0.65,8.175,0.7,0,0,52,3.5,4,0.638,2090,1030,77,38.5,14.8,20.075,0,111.5,1.0718
모데카이저,T,2932,5903,352458,0.496696595,0.016748095,82,Mordekaiser,575,90,100,0,335,37,3,32,1.25,175,5,0.75,0,0,0,0,61,4,1,0.625,2105,100,88,53.25,17.75,0,0,129,0.7312
뽀삐,T,1154,2328,352458,0.495704467,0.006605042,78,Poppy,540,90,280,40,345,38,3.5,32,1.25,125,8,0.8,7,0.7,0,0,64,4,2.5,0.625,2070,960,97.5,53.25,21.6,18.9,0,132,0.8906
트런들,T,1247,2517,352458,0.495431069,0.007141276,48,Trundle,616,96,281,45,350,37,2.7,32,1.25,175,6,0.75,7.5,0.6,0,0,68,3,2.9,0.67,2248,1046,82.9,53.25,18.75,17.7,0,119,1.0003
신지드,T,719,1455,352458,0.494158076,0.004128151,27,Singed,580,85,330,45,345,34,3.5,32,1.25,125,9.5,0.55,7.5,0.55,0,0,63,3.38,1.9,0.613,2025,1095,93.5,53.25,18.85,16.85,0,120.46,0.811
카밀,T,6628,13442,352458,0.493081387,0.038137877,164,Camille,576,85,339,52,340,35,3.8,32.1,1.25,125,8.5,0.8,8.15,0.75,0,0,68,3.5,2.5,0.644,2021,1223,99.6,53.35,22.1,20.9,0,127.5,0.9177
카르마,T,491,996,352458,0.492971888,0.002825869,43,Karma,534,95,374,50,335,28,3.8,30,0.5,525,5.5,0.55,13,0.5,0,0,51,3.3,2.3,0.625,2149,1224,92.6,38.5,14.85,21.5,0,107.1,0.8694
럼블,T,894,1819,352458,0.491478835,0.005160899,68,Rumble,589,85,100,0,345,31,3.5,28,0.75,125,8,0.6,0,0,0,0,61,3.2,1.85,0.644,2034,100,90.5,40.75,18.2,0,0,115.4,0.8465
리븐,T,2766,5629,352458,0.491383905,0.015970697,92,Riven,560,86,0,0,340,33,3.2,32,1.25,125,8.5,0.5,0,0,0,0,64,3,3.5,0.625,2022,0,87.4,53.25,17,0,0,115,0.9969
야스오,T,2456,5005,352458,0.490709291,0.014200274,157,Yasuo,490,87,100,0,345,30,3.4,32,1.25,175,6.5,0.9,0,0,0,0,60,3,3.5,0.697,1969,100,87.8,53.25,21.8,0,0,111,1.1117
자야,T,142,290,352458,0.489655172,0.000822793,498,Xayah,590,88,340,40,330,25,3,30,0.5,525,3.25,0.75,8.25,0.75,0,0,60,3.5,3.9,0.625,2086,1020,76,38.5,16,21,0,119.5,1.0394
다이애나,T,90,184,352458,0.489130435,0.000522048,131,Diana,570,95,375,25,345,31,3.1,32,1.25,150,6.5,0.85,8,0.8,0,0,57,3,2.25,0.625,2185,800,83.7,53.25,20.95,21.6,0,108,0.8641
람머스,T,88,180,352458,0.488888889,0.000510699,33,Rammus,564,80,310,33,335,36,4.3,32,1.25,125,8,0.55,7.84,0.5,0,0,56,3.5,2.215,0.656,1924,871,109.1,53.25,17.35,16.34,0,115.5,0.903
다리우스,T,8347,17108,352458,0.487900397,0.048539117,122,Darius,582,100,263,57.5,340,39,4,32,1.25,175,10,0.95,6.6,0.35,0,0,64,5,1,0.625,2282,1240.5,107,53.25,26.15,12.55,0,149,0.7312
레넥톤,T,4745,9733,352458,0.487516696,0.027614638,58,Renekton,590,92,100,0,345,35,4,32,1.25,125,8,0.75,0,0,0,0,69,3.75,2.75,0.665,2154,100,103,53.25,20.75,0,0,132.75,0.9759
피들스틱,T,77,158,352458,0.487341772,0.00044828,9,Fiddlesticks,580.4,92,500,28,335,34,3.5,30,0.5,480,5.5,0.6,8,0.8,0,0,55.36,2.63,2.11,0.625,2144.4,976,93.5,38.5,15.7,21.6,0,100.07,0.8492
아칼리,T,3934,8088,352458,0.486399604,0.022947415,84,Akali,500,105,200,0,345,23,3.5,37,1.25,125,9,0.9,50,0,0,0,62,3.3,3.2,0.625,2285,200,82.5,58.25,24.3,50,0,118.1,0.965
에코,T,133,274,352458,0.48540146,0.000777398,245,Ekko,585,85,280,70,340,32,3,32,1.25,125,9,0.9,7,0.8,0,0,58,3,3.3,0.688,2030,1470,83,53.25,24.3,20.6,0,109,1.074
칼리스타,T,602,1241,352458,0.485092667,0.003520987,429,Kalista,534,100,250,45,325,21,4,30,0.5,525,3.75,0.55,6.3,0.4,0,0,69,3.5,4,0.694,2234,1015,89,38.5,13.1,13.1,0,128.5,1.1659
제드,T,243,502,352458,0.484063745,0.001424283,238,Zed,584,85,200,0,345,32,3.5,32,1.25,125,7,0.65,50,0,0,0,63,3.4,3.3,0.651,2029,200,91.5,53.25,18.05,50,0,120.8,1.0162
케인,T,320,662,352458,0.483383686,0.001878238,141,Kayn,585,85,410,50,340,38,3.3,32,1.25,175,8,0.75,11.5,0.95,0,0,68,3.3,2.7,0.669,2030,1260,94.1,53.25,20.75,27.65,0,124.1,0.9761
제이스,T,9154,18961,352458,0.482780444,0.053796481,126,Jayce,560,90,375,45,335,27,3.5,30,0.5,125,6,0.6,6,0.8,0,0,54,4.25,3,0.658,2090,1140,86.5,38.5,16.2,19.6,0,126.25,0.9936
판테온,T,461,958,352458,0.481210856,0.002718054,80,Pantheon,580,95,317.12,31,345,40,3.75,28,1.25,175,9,0.65,7.36,0.45,0,0,64,3.3,2.95,0.644,2195,844.12,103.75,49.25,20.05,15.01,0,120.1,0.967
룰루,T,169,352,352458,0.480113636,0.000998701,117,Lulu,525,74,350,55,330,29,3.7,30,0.5,550,6,0.6,11,0.6,0,0,47,2.6,2.25,0.625,1783,1285,91.9,38.5,16.2,21.2,0,91.2,0.8641
르블랑,T,163,340,352458,0.479411765,0.000964654,7,Leblanc,528,97,334,50,340,22,3.5,30,0.5,525,7.5,0.55,6,0.8,0,0,55,3.5,1.4,0.625,2177,1184,81.5,38.5,16.85,19.6,0,114.5,0.7737
루시안,T,1476,3080,352458,0.479220779,0.00873863,236,Lucian,571,86,348.88,38,335,28,3,30,0.5,500,3.75,0.65,8.18,0.7,0,0,62,2.3,3.3,0.638,2033,994.88,79,38.5,14.8,20.08,0,101.1,0.9959
요네,T,2530,5281,352458,0.479075933,0.014983346,777,Yone,550,85,500,0,345,28,3.4,32,1.25,175,7.5,0.75,0,0,0,0,60,2,3.5,0.625,1995,500,85.8,53.25,20.25,0,0,94,0.9969
소라카,T,66,138,352458,0.47826087,0.000391536,16,Soraka,535,74,425,40,325,32,3.8,30,0.5,550,2.5,0.5,11.5,0.4,0,0,50,3,2.14,0.625,1793,1105,96.6,38.5,11,18.3,0,101,0.8524
카사딘,T,326,682,352458,0.478005865,0.001934982,38,Kassadin,576,105,400,87,335,19,2.8,30,0.5,150,6,0.5,6,0.8,0,0,59,3.9,3.7,0.64,2361,1879,66.6,38.5,14.5,19.6,0,125.3,1.0426
사일러스,T,3425,7166,352458,0.477951437,0.0203315,517,Sylas,525,115,310,70,340,27,4,32,1.75,175,9,0.9,8,0.8,0,0,61,3,3.5,0.645,2480,1500,95,61.75,24.3,21.6,0,112,1.0288
애쉬,T,173,362,352458,0.477900552,0.001027073,22,Ashe,570,87,280,32,325,26,3.4,30,0.5,600,3.5,0.55,6.97,0.4,0,0,59,2.96,3.33,0.658,2049,824,83.8,38.5,12.85,13.77,0,109.32,1.0305
아트록스,T,3887,8137,352458,0.477694482,0.023086439,266,Aatrox,580,90,0,0,345,38,3.25,32,1.25,175,3,1,0,0,0,0,60,5,2.5,0.651,2110,0,93.25,53.25,20,0,0,145,0.9277
탈론,T,144,302,352458,0.476821192,0.00085684,91,Talon,588,95,377.2,37,335,30,3.5,39,1.25,125,8.5,0.75,7.6,0.8,0,0,68,3.1,2.9,0.625,2203,1006.2,89.5,60.25,21.25,21.2,0,120.7,0.9331
렝가,T,922,1940,352458,0.475257732,0.005504202,107,Rengar,585,90,4,0,345,34,3,32,1.25,125,7,0.5,0,0,0,0,68,3,3,0.667,2115,4,85,53.25,15.5,0,0,119,1.0072
마스터 이,T,772,1625,352458,0.475076923,0.004610478,11,MasterYi,599,92,251,42,355,33,3,32,1.25,125,7.5,0.65,7.26,0.45,0,0,66,3,2,0.679,2163,965,84,53.25,18.55,14.91,0,117,0.9099
그라가스,T,304,640,352458,0.475,0.001815819,79,Gragas,600,95,400,47,330,38,3.6,32,1.25,125,5.5,0.5,6,0.8,0,0,64,3.5,2.05,0.675,2215,1199,99.2,53.25,14,19.6,0,123.5,0.9102
애니,T,82,173,352458,0.473988439,0.000490839,1,Annie,524,88,418,25,335,19,4,30,0.5,625,5.5,0.55,8,0.8,0,0,50,2.63,1.36,0.579,2020,843,87,38.5,14.85,21.6,0,94.71,0.7129
아무무,T,54,114,352458,0.473684211,0.000323443,32,Amumu,615,75,285,40,335,30,3.5,32,1.25,125,9,0.85,7.38,0.53,0,0,53,3.8,2.18,0.736,1890,965,89.5,53.25,23.45,16.39,0,117.6,1.0088
리산드라,T,116,245,352458,0.473469388,0.000695118,127,Lissandra,550,90,475,30,325,22,3.7,30,0.5,550,7,0.55,8,0.4,0,0,55,2.7,1.36,0.656,2080,985,84.9,38.5,16.35,14.8,0,100.9,0.8077
직스,T,69,146,352458,0.47260274,0.000414234,115,Ziggs,536,92,480,23.5,325,22,3.3,30,0.5,550,6.5,0.6,8,0.8,0,0,54,3.1,2,0.656,2100,879.5,78.1,38.5,16.7,21.6,0,106.7,0.879
비에고,T,396,838,352458,0.472553699,0.002377588,234,Viego,560,95,10000,0,345,34,4,32,1.25,200,7,0.7,0,0,0,0,57,3.5,2.5,0.658,2175,10000,102,53.25,18.9,0,0,116.5,0.9377
벨코즈,T,59,125,352458,0.472,0.000354652,161,Velkoz,520,88,469,21,340,22,3.5,30,0.5,525,5.5,0.55,8,0.8,0,0,55,3.1416,1.36,0.625,2016,826,81.5,38.5,14.85,21.6,0,108.4072,0.7695
라이즈,T,1980,4203,352458,0.471092077,0.011924825,13,Ryze,575,110,300,70,340,22,3,36,0.5,550,8,0.8,8,1,0,0,58,3,2.112,0.625,2445,1490,73,44.5,21.6,25,0,109,0.8494
그웬,T,1888,4010,352458,0.470822943,0.011377242,887,Gwen,550,90,330,40,340,39,4,32,1.25,150,8.5,0.55,7.5,0.7,0,0,63,3,2.25,0.69,2080,1010,107,53.25,17.85,19.4,0,114,0.9539
카타리나,T,182,387,352458,0.470284238,0.001098003,55,Katarina,602,94,0,0,335,28,3.5,32,1.25,125,7.5,0.7,0,0,0,0,58,3.2,2.74,0.658,2200,0,87.5,53.25,19.4,0,0,112.4,0.9645
갱플랭크,T,1208,2574,352458,0.469308469,0.007302998,41,Gangplank,570,90,280,60,345,35,3,32,1.25,125,6,0.6,7.5,0.7,0,0,64,4,3.2,0.658,2100,1300,86,53.25,16.2,19.4,0,132,1.016
헤카림,T,58,124,352458,0.467741935,0.000351815,120,Hecarim,580,90,277,60,345,35,4.25,32,1.25,175,7,0.75,6.5,0.6,0,0,66,3.2,2.5,0.67,2110,1297,107.25,53.25,19.75,16.7,0,120.4,0.9548
드레이븐,T,205,440,352458,0.465909091,0.001248376,119,Draven,605,90,360.56,39,330,29,3.3,30,0.5,550,3.75,0.7,8.04,0.65,0,0,60,3.61,2.7,0.679,2135,1023.56,85.1,38.5,15.65,19.09,0,121.37,0.9907
카시오페아,T,368,794,352458,0.463476071,0.002252751,69,Cassiopeia,560,90,350,60,328,18,3.5,32,0.5,550,5.5,0.5,8,0.8,0,0,53,3,1.5,0.647,2090,1370,77.5,40.5,14,21.6,0,104,0.812
